project_id,school_id,product_name,staff_id,status,planned_start_date,last_update_date
P0001,S001,星未来,CS001,已验收,2026-04-15,2026-06-20
P0002,S001,星学伴,CS002,已验收,2026-06-23,2026-06-25
P0003,S001,海班慧,CS001,已验收,2026-04-08,2026-06-09
P0004,S001,鸿儒教研,CS007,已培训,2026-04-07,2026-06-26
P0005,S002,星未来,CS005,已验收,2026-06-15,2026-06-12
P0006,S002,星乐读,CS003,已启动,2026-06-18,2026-06-25
P0007,S002,海班慧,CS007,已验收,2026-05-19,2026-06-20
P0008,S002,鸿儒教研,CS008,已启动,2026-04-17,2026-06-23
P0009,S003,星学伴,CS006,已验收,2026-06-14,2026-06-27
P0010,S003,海班慧,CS006,已培训,2026-06-15,2026-06-24
P0011,S004,海班慧,CS009,已验收,2026-06-25,2026-06-16
P0012,S004,星学伴,CS001,已启动,2026-05-06,2026-06-22
P0013,S004,星未来,CS005,已验收,2026-06-09,2026-06-24
P0014,S005,海班慧,CS004,已验收,2026-06-20,2026-06-14
P0015,S005,星学伴,CS006,已培训,2026-04-18,2026-06-24
P0016,S006,海班慧,CS004,未启动,2026-05-10,2026-06-15
P0017,S006,星未来,CS006,已培训,2026-06-03,2026-06-10
P0018,S007,鸿儒教研,CS002,已验收,2026-06-06,2026-06-16
P0019,S007,星学伴,CS006,已验收,2026-05-07,2026-06-25
P0020,S007,星未来,CS007,已验收,2026-05-22,2026-06-28
P0021,S007,海班慧,CS006,已培训,2026-06-15,2026-06-11
P0022,S008,星乐读,CS008,未启动,2026-06-08,2026-06-26
P0023,S008,星学伴,CS002,未启动,2026-06-21,2026-06-09
P0024,S009,星学伴,CS003,未启动,2026-04-09,2026-06-29
P0025,S009,海班慧,CS001,已启动,2026-04-24,2026-06-26
P0026,S010,鸿儒教研,CS002,已启动,2026-06-14,2026-06-19
P0027,S010,星乐读,CS004,已培训,2026-06-02,2026-06-29
P0028,S010,海班慧,CS005,未启动,2026-06-11,2026-06-11
P0029,S010,星未来,CS003,已启动,2026-06-15,2026-06-12
P0030,S011,星乐读,CS007,已验收,2026-04-15,2026-06-25
P0031,S011,星未来,CS007,未启动,2026-06-01,2026-06-10
P0032,S011,海班慧,CS003,已启动,2026-05-16,2026-06-14
P0033,S012,星学伴,CS005,已验收,2026-05-15,2026-06-17
P0034,S012,星乐读,CS001,已验收,2026-06-18,2026-06-29
P0035,S012,鸿儒教研,CS007,已启动,2026-05-07,2026-06-09
P0036,S013,海班慧,CS004,未启动,2026-05-17,2026-06-24
P0037,S013,星学伴,CS002,未启动,2026-06-03,2026-06-13
P0038,S013,星未来,CS002,已验收,2026-06-08,2026-06-20
P0039,S013,星乐读,CS006,已验收,2026-06-08,2026-06-26
P0040,S014,星学伴,CS009,已启动,2026-06-11,2026-06-15
P0041,S014,海班慧,CS004,已培训,2026-06-21,2026-06-17
P0042,S014,星乐读,CS005,已培训,2026-04-01,2026-06-22
P0043,S014,星未来,CS009,已验收,2026-04-18,2026-06-14
P0044,S015,星未来,CS007,已培训,2026-04-15,2026-06-25
P0045,S015,星乐读,CS007,已验收,2026-06-17,2026-06-08
P0046,S015,鸿儒教研,CS006,已培训,2026-06-04,2026-06-12
P0047,S015,星学伴,CS005,已启动,2026-04-24,2026-06-25
P0048,S016,星未来,CS007,已启动,2026-05-07,2026-06-29
P0049,S016,海班慧,CS004,已培训,2026-05-02,2026-06-10
P0050,S017,鸿儒教研,CS005,已验收,2026-06-09,2026-06-13
P0051,S017,星未来,CS008,已验收,2026-05-18,2026-06-08
P0052,S017,星学伴,CS002,未启动,2026-06-05,2026-06-25
P0053,S017,海班慧,CS002,已验收,2026-06-18,2026-06-12
P0054,S018,星乐读,CS002,已验收,2026-04-12,2026-06-14
P0055,S018,星学伴,CS006,已验收,2026-05-25,2026-06-25
P0056,S018,海班慧,CS006,已验收,2026-06-05,2026-06-15
P0057,S019,星乐读,CS009,已启动,2026-05-14,2026-06-29
P0058,S019,鸿儒教研,CS006,已培训,2026-06-04,2026-06-20
P0059,S020,鸿儒教研,CS005,已验收,2026-05-12,2026-06-17
P0060,S020,星乐读,CS004,已启动,2026-06-07,2026-06-20
P0061,S021,星未来,CS009,已验收,2026-05-22,2026-06-25
P0062,S021,星学伴,CS006,已验收,2026-04-09,2026-06-13
P0063,S021,星乐读,CS002,已验收,2026-05-02,2026-06-11
P0064,S022,鸿儒教研,CS006,已验收,2026-06-04,2026-06-20
P0065,S022,星未来,CS009,已启动,2026-04-23,2026-06-21
P0066,S022,海班慧,CS008,已培训,2026-06-22,2026-06-29
P0067,S022,星乐读,CS005,已培训,2026-04-22,2026-06-18
P0068,S023,星未来,CS009,已培训,2026-05-11,2026-06-20
P0069,S023,星学伴,CS007,已验收,2026-04-14,2026-06-29
P0070,S023,海班慧,CS007,已验收,2026-04-20,2026-06-26
P0071,S023,星乐读,CS003,已培训,2026-04-10,2026-06-17
P0072,S024,鸿儒教研,CS003,已培训,2026-06-07,2026-06-24
P0073,S024,星未来,CS006,已验收,2026-06-06,2026-06-29
